カナ名,漢字名（中国語読み）,性別,出生日,死亡日／現在地,来日日,日本出国日,日本での居住地
カンカン,康康（Kang Kang）,オス,1970年11月1日,1980年6月30日,1972年10月28日,日本で死亡,東京都恩賜上野動物園
ランラン,蘭蘭（Lan Lan）,メス,1968年11月1日,1979年9月4日,1972年10月28日,日本で死亡,東京都恩賜上野動物園
ホアンホアン,歓歓（Huan Huan）,メス,1972年,1997年9月21日,1980年1月29日,日本で死亡,東京都恩賜上野動物園
シャンシャン,珊珊（Shan Shan）,オス,1955年※推定,1985年6月1日,1980年3月23日,1980年6月2日,福岡市動物園
パオリン,宝玲（Bao Ling）,メス,1963年※推定,1988年12月1日,1980年3月23日,1980年6月2日,福岡市動物園
ウェイウェイ,偉偉（Wei Wei）,オス,1973年※推定,1992年3月1日,1981年1月6日,1981年,上海雑技団（日本巡回）
サイサイ,寨寨（Zhai Zhai）,オス,1975年※推定,1999年2月1日,1981年3月10日,1981年9月17日,ポートピア'81博覧会
ロンロン,蓉蓉（Rong Rong）,メス,1964年※推定,1993年,1981年3月10日,1981年9月17日,ポートピア'81博覧会
フェイフェイ,飛飛（Fei Fei）,オス,1967年,1994年12月14日,1982年11月9日,日本で死亡,東京都恩賜上野動物園
チュチュ,初初（Chu Chu）,オス,1985年6月27日,1985年6月29日,日本で生誕,日本で死亡,東京都恩賜上野動物園
トントン,童童（Tong Tong）,メス,1986年6月1日,2000年7月8日,日本で生誕,日本で死亡,東京都恩賜上野動物園
シンシン,辰辰（Shen Shen）,オス,不明,不明,1988年3月25日,1989年1月10日,池田動物園、函館EXPO'88、アドベンチャーワールド
ケイケイ,慶慶（Qing Qing）,メス,1984年9月9日,2023年,1988年3月25日,1989年1月10日,池田動物園、函館EXPO'88、アドベンチャーワールド
ユウユウ,悠悠（You You）,オス,1988年6月23日,2004年3月4日,日本で生誕,1992年11月13日,東京都恩賜上野動物園
トントン,東東（Dong Dong）,オス,不明,不明,1989年9月15日,1989年11月12日,こうふ博'89+パンダ展
ビンビン,冰冰（Bing Bing）,メス,1986年8月6日,2023年3月16日,1989年9月15日,1989年11月12日,こうふ博'89+パンダ展
リンリン,陵陵（Ling Ling）,オス,1985年9月5日,2008年4月30日,1992年11月5日,日本で死亡,東京都恩賜上野動物園
エイメイ,永明（Yong Ming）,オス,1992年9月14日,2025年1月25日,1994年9月6日,2023年2月22日,アドベンチャーワールド
ヨウヒン,蓉浜（Rong Bang）,メス,1992年9月4日,1997年7月17日,1994年9月6日,日本で死亡,アドベンチャーワールド
メイメイ,梅梅（Mei Mei）,メス,1994年8月31日,2008年10月15日,2000年7月7日,日本で死亡,アドベンチャーワールド
コウコウ（初代）,興興（Xing Xing）,メス,1996年8月12日,2014年10月14日,2000年7月16日,2002年12月5日,神戸市立王子動物園
タンタン,旦旦（Dan Dan）,メス,1995年9月16日,2024年3月31日,2000年7月16日,日本で死亡,神戸市立王子動物園
ラウヒン,良浜（Liang Bang）,メス,2000年9月6日,現在 成都ジャイアントパンダ繁殖研究基地,日本で生誕,2025年6月28日,アドベンチャーワールド
ユウヒン,雄浜（Xiong Bang）,オス,2001年12月17日,現在 成都ジャイアントパンダ繁殖研究基地,日本で生誕,2004年6月21日,アドベンチャーワールド
コウコウ（2代目）,興興（Xing Xing）,オス,1995年9月14日,2010年9月9日,2002年12月9日,日本で死亡,神戸市立王子動物園
リュウヒン,隆浜（Long Bang）,オス,2003年9月8日,現在 成都ジャイアントパンダ繁殖研究基地,日本で生誕,2007年10月27日,アドベンチャーワールド
